Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Koriat, A.","Monitoring One's Own Knowledge during Study: A Cue-Utilization Approach to Judgments of Learning",1997,"Journal of Experimental Psychology: General","126","4",,"349","370",,431,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031494049&partnerID=40&md5=ad2aa0933e58ad28c78d1ae91ce51c61",Article,Scopus,2-s2.0-0031494049
"Nelson, T.O., Dunlosky, J.","When People's Judgments of Learning (JOLs) are Extremely Accurate at Predicting Subsequent Recall: The “delayed-JOL effect”",1991,"Psychological Science","2","4",,"267","270",,267,10.1111/j.1467-9280.1991.tb00147.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970278517&doi=10.1111%2fj.1467-9280.1991.tb00147.x&partnerID=40&md5=2fafb6d892b5cfd71dffd81d83b56439",Article,Scopus,2-s2.0-84970278517
"Dunlosky, J., Nelson, T.O.","Importance of the kind of cue for judgments of learning (JOL) and the delayed-JOL effect",1992,"Memory &amp; Cognition","20","4",,"374","380",,163,10.3758/BF03210921,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026704750&doi=10.3758%2fBF03210921&partnerID=40&md5=13f86c56a95a44bfc7fa602e48817341",Article,Scopus,2-s2.0-0026704750
"Koriat, A., Ma'ayan, H., Nussinson, R.","The intricate relationships between monitoring and control in metacognition: Lessons for the cause-and-effect relation between subjective experience and behavior",2006,"Journal of Experimental Psychology: General","135","1",,"36","69",,158,10.1037/0096-3445.135.1.36,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33244475787&doi=10.1037%2f0096-3445.135.1.36&partnerID=40&md5=5ae93d7acdd7713af5ddb08fdedc3c10",Article,Scopus,2-s2.0-33244475787
"Koriat, A., Bjork, R.A., Sheffer, L., Bar, S.K.","Predicting one's own forgetting: The role of experience-based and theory-based processes",2004,"Journal of Experimental Psychology: General","133","4",,"643","656",,155,10.1037/0096-3445.133.4.643,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-10844287833&doi=10.1037%2f0096-3445.133.4.643&partnerID=40&md5=1fb274f8f6047ce2f6c4da67508c73bc",Article,Scopus,2-s2.0-10844287833
"Connor, L.T., Dunlosky, J., Hertzog, C.","Age-related differences in absolute but not relative metamemory accuracy",1997,"Psychology and Aging","12","1",,"50","71",,150,10.1037/0882-7974.12.1.50,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030904711&doi=10.1037%2f0882-7974.12.1.50&partnerID=40&md5=e5ea792d505065dc5e695601fcb5e1fe",Article,Scopus,2-s2.0-0030904711
"Bjork, R.A., Dunlosky, J., Kornell, N.","Self-regulated learning: Beliefs, techniques, and illusions",2013,"Annual Review of Psychology","64",,,"417","444",,142,10.1146/annurev-psych-113011-143823,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872455026&doi=10.1146%2fannurev-psych-113011-143823&partnerID=40&md5=9c8065fd12cc2bdd680d4e00061f4c47",Review,Scopus,2-s2.0-84872455026
"Schwartz, B.L.","Sources of information in metamemory: Judgments of learning and feelings of knowing",1994,"Psychonomic Bulletin &amp; Review","1","3",,"357","375",,138,10.3758/BF03213977,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001744403&doi=10.3758%2fBF03213977&partnerID=40&md5=1c2270ecf10f4a93749bb0c618334a7f",Article,Scopus,2-s2.0-0001744403
"Dunlosky, J., Nelson, T.O.","Does the Sensitivity of Judgments of Learning (JOLs) to the Effects of Various Study Activities Depend on When the JOLs Occur?",1994,"Journal of Memory and Language","33","4",,"545","565",,137,10.1006/jmla.1994.1026,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000031469&doi=10.1006%2fjmla.1994.1026&partnerID=40&md5=9f3045035c80b7781ebc23d3f9375fea",Article,Scopus,2-s2.0-0000031469
"Efklides, A.","Metacognition and affect: What can metacognitive experiences tell us about the learning process?",2006,"Educational Research Review","1","1",,"3","14",,133,10.1016/j.edurev.2005.11.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745496302&doi=10.1016%2fj.edurev.2005.11.001&partnerID=40&md5=55564b4a9e08780e0d51b3c60c752b76",Article,Scopus,2-s2.0-33745496302
